epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1117.07,0.63909,0.51064,0.85007,0.99815,1,0.995,0.87705,0.54449,0.42816,0.81786,0.000990125,0.000990125,0.000990125
44,1139.02,0.62,0.47853,0.84607,0.99816,1,0.995,0.87732,0.56181,0.44553,0.8201,0.000983938,0.000983938,0.000983938
45,1162.69,0.66034,0.51284,0.85221,0.99348,1,0.995,0.86435,0.57633,0.43019,0.82125,0.00097775,0.00097775,0.00097775
46,1184.72,0.66189,0.51897,0.8743,0.99722,1,0.995,0.8861,0.52544,0.40776,0.81406,0.000971562,0.000971562,0.000971562
47,1207.95,0.66412,0.5097,0.86265,0.99755,1,0.995,0.88437,0.53115,0.41946,0.81547,0.000965375,0.000965375,0.000965375
48,1231.41,0.63389,0.48091,0.84691,0.99883,1,0.995,0.87675,0.56868,0.41719,0.8184,0.000959187,0.000959187,0.000959187
49,1254.38,0.66072,0.51216,0.85544,0.99784,1,0.995,0.86701,0.58394,0.42654,0.8277,0.000953,0.000953,0.000953
50,1278.98,0.63314,0.48754,0.85971,0.99784,1,0.995,0.88369,0.53396,0.38297,0.8149,0.000946812,0.000946812,0.000946812
51,1302.43,0.60598,0.4616,0.85461,0.99758,1,0.995,0.88935,0.54242,0.40159,0.81809,0.000940625,0.000940625,0.000940625
52,1644.12,0.62705,0.47289,0.87509,0.99737,1,0.995,0.88866,0.53058,0.38788,0.81359,0.000934438,0.000934438,0.000934438
53,3087.11,0.62636,0.46726,0.84838,0.9986,1,0.995,0.88441,0.53973,0.3846,0.81574,0.00092825,0.00092825,0.00092825
54,3307.67,0.6258,0.46114,0.85697,0.99806,1,0.995,0.87501,0.55066,0.39485,0.82075,0.000922063,0.000922063,0.000922063
55,3363.95,0.64786,0.48014,0.86894,0.99839,1,0.995,0.86733,0.58068,0.39218,0.822,0.000915875,0.000915875,0.000915875
56,3430.47,0.59941,0.45219,0.84427,0.9979,1,0.995,0.89124,0.52299,0.38884,0.8114,0.000909688,0.000909688,0.000909688
57,3561.37,0.60185,0.45248,0.84202,0.99867,0.97888,0.97858,0.87308,0.51238,0.39181,0.81188,0.0009035,0.0009035,0.0009035
58,3642.53,0.62577,0.47232,0.85223,0.99755,1,0.995,0.88024,0.55429,0.39828,0.81659,0.000897313,0.000897313,0.000897313
59,3712.35,0.58035,0.44692,0.84798,0.99823,1,0.995,0.87681,0.59534,0.39477,0.82419,0.000891125,0.000891125,0.000891125
60,3790.4,0.59742,0.45449,0.84528,0.99801,1,0.995,0.88322,0.53848,0.38463,0.81676,0.000884938,0.000884938,0.000884938
61,3911.49,0.60773,0.44519,0.86176,0.99755,1,0.995,0.88674,0.52518,0.36239,0.81309,0.00087875,0.00087875,0.00087875
62,4008.96,0.6238,0.44784,0.85368,0.99849,1,0.995,0.88633,0.52405,0.37736,0.81193,0.000872563,0.000872563,0.000872563
