epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1046.91,0.65027,0.48869,0.85384,0.99221,0.96581,0.98815,0.82377,0.72478,0.48929,0.90855,0.000996313,0.000996313,0.000996313
43,1079.49,0.64722,0.52474,0.86826,0.97995,0.96429,0.98324,0.80476,0.77517,0.53163,0.92076,0.000990125,0.000990125,0.000990125
44,1113.09,0.63348,0.50456,0.85484,0.98622,0.97619,0.9914,0.82529,0.75929,0.49418,0.90977,0.000983938,0.000983938,0.000983938
45,1145.66,0.61828,0.48375,0.84539,0.99364,0.98543,0.99375,0.82297,0.71782,0.45736,0.90039,0.00097775,0.00097775,0.00097775
46,1175.73,0.6578,0.4991,0.85986,0.9912,0.97881,0.99375,0.79839,0.77424,0.49407,0.92114,0.000971562,0.000971562,0.000971562
47,1204.39,0.63502,0.48816,0.85016,0.97277,0.98578,0.9925,0.8242,0.71404,0.50124,0.89226,0.000965375,0.000965375,0.000965375
48,1236.36,0.63814,0.48147,0.86752,0.98246,0.97852,0.98841,0.80764,0.79202,0.50456,0.92892,0.000959187,0.000959187,0.000959187
49,1268.01,0.64815,0.47713,0.85926,0.97717,0.97792,0.98408,0.82191,0.71184,0.50431,0.89409,0.000953,0.000953,0.000953
50,1298.83,0.6127,0.47023,0.84875,0.93232,0.91676,0.94658,0.76126,0.79287,0.64037,0.92944,0.000946812,0.000946812,0.000946812
51,1319.86,0.66548,0.48707,0.85438,0.94838,0.97619,0.98383,0.80209,0.76692,0.50588,0.91816,0.000940625,0.000940625,0.000940625
52,1343.59,0.61991,0.46983,0.84652,0.97036,0.97619,0.98021,0.79727,0.74882,0.47566,0.90789,0.000934438,0.000934438,0.000934438
53,1371.16,0.63429,0.4824,0.84959,0.96793,0.97619,0.97703,0.80685,0.74151,0.47369,0.90873,0.00092825,0.00092825,0.00092825
54,1402.23,0.58973,0.45199,0.84533,0.97673,0.9881,0.9872,0.77517,0.8768,0.49166,0.95359,0.000922063,0.000922063,0.000922063
55,1433.43,0.56337,0.43543,0.84848,0.984,0.9881,0.99,0.81781,0.76624,0.47697,0.92073,0.000915875,0.000915875,0.000915875
56,1464.69,0.59164,0.44591,0.85557,0.99249,0.9881,0.99375,0.79747,0.82013,0.45259,0.94356,0.000909688,0.000909688,0.000909688
57,1496.48,0.57765,0.4404,0.84132,0.99356,0.9881,0.99413,0.80309,0.83065,0.46779,0.94668,0.0009035,0.0009035,0.0009035
58,1525.54,0.57473,0.43584,0.84751,0.98805,0.98574,0.99068,0.80314,0.78662,0.48323,0.92159,0.000897313,0.000897313,0.000897313
59,1557.15,0.60108,0.45499,0.85306,0.97639,0.96525,0.97453,0.80133,0.78185,0.49498,0.91681,0.000891125,0.000891125,0.000891125
60,1584.39,0.62138,0.44373,0.84423,0.98285,0.9604,0.97454,0.78852,0.81089,0.5256,0.92742,0.000884938,0.000884938,0.000884938
61,1613.47,0.56046,0.42422,0.85246,0.96277,0.95727,0.97996,0.79935,0.76957,0.56298,0.91464,0.00087875,0.00087875,0.00087875
62,1645.93,0.59722,0.43577,0.85317,0.96556,0.95667,0.9634,0.77753,0.76475,0.78584,0.92452,0.000872563,0.000872563,0.000872563
63,1674.27,0.60491,0.47694,0.85895,0.98994,0.97619,0.99077,0.7828,0.81121,0.47882,0.92788,0.000866375,0.000866375,0.000866375
64,1698.53,0.55701,0.44216,0.83549,0.98625,0.96146,0.99106,0.80751,0.77704,0.49476,0.92404,0.000860188,0.000860188,0.000860188
65,1717.52,0.58182,0.44326,0.83404,0.95659,0.93188,0.97879,0.79975,0.76991,0.55906,0.93096,0.000854,0.000854,0.000854
66,1737.08,0.58938,0.43347,0.84396,0.95965,0.93957,0.97762,0.80987,0.74742,0.54095,0.91333,0.000847813,0.000847813,0.000847813
67,1755.79,0.56451,0.42845,0.8408,0.87348,0.92538,0.98447,0.82655,0.677,0.62329,0.89493,0.000841625,0.000841625,0.000841625
68,1776.13,0.56092,0.4203,0.83977,0.95913,0.95524,0.98729,0.78746,0.79856,0.4865,0.9246,0.000835438,0.000835438,0.000835438
69,1798,0.5647,0.41237,0.83616,0.95448,0.97309,0.98589,0.81445,0.71557,0.4612,0.89714,0.00082925,0.00082925,0.00082925
70,1820.13,0.57699,0.43525,0.84256,0.98542,0.97029,0.98603,0.82842,0.70317,0.44542,0.88968,0.000823063,0.000823063,0.000823063
71,1839.45,0.564,0.39302,0.83968,0.95803,0.97914,0.98862,0.79447,0.78721,0.463,0.92172,0.000816875,0.000816875,0.000816875
72,1859.87,0.58338,0.41266,0.84549,0.99057,0.9881,0.99038,0.81797,0.75897,0.4472,0.91744,0.000810688,0.000810688,0.000810688
73,1881.07,0.59215,0.42632,0.84913,0.98509,0.9881,0.99038,0.81483,0.77699,0.42815,0.92537,0.0008045,0.0008045,0.0008045
74,1903.06,0.6042,0.4217,0.85607,0.97773,0.9881,0.98625,0.79637,0.84335,0.43905,0.95353,0.000798313,0.000798313,0.000798313
75,1922.76,0.58897,0.43894,0.84733,0.97335,0.98697,0.98635,0.82382,0.75127,0.43383,0.92435,0.000792125,0.000792125,0.000792125
76,1942.83,0.55283,0.38887,0.83875,0.97156,0.97253,0.98469,0.8117,0.77357,0.45486,0.93077,0.000785938,0.000785938,0.000785938
77,1964.11,0.55081,0.39581,0.83098,0.99204,0.97619,0.98525,0.80972,0.75838,0.4157,0.91954,0.00077975,0.00077975,0.00077975
78,1986.56,0.55717,0.3933,0.8418,0.99615,0.97887,0.98792,0.82155,0.73396,0.40471,0.9051,0.000773563,0.000773563,0.000773563
79,2005.82,0.56214,0.39315,0.83709,0.98919,0.9881,0.99038,0.81448,0.80631,0.41784,0.92212,0.000767375,0.000767375,0.000767375
80,2027.94,0.57216,0.40296,0.84637,0.99234,0.97818,0.98583,0.83373,0.71896,0.41869,0.89064,0.000761188,0.000761188,0.000761188
81,2049.29,0.53229,0.3816,0.83748,0.99423,0.97619,0.98478,0.82677,0.69996,0.43794,0.88637,0.000755,0.000755,0.000755
82,2069.06,0.55044,0.39714,0.83832,0.99203,0.97619,0.98506,0.83863,0.66308,0.39821,0.87462,0.000748813,0.000748813,0.000748813
83,2088.98,0.55048,0.40222,0.839,0.96833,0.97414,0.98791,0.79104,0.81024,0.45697,0.92274,0.000742625,0.000742625,0.000742625
